address,name,type,comment
0x003fa97a,j1939_dm1_request_mode_byte,byte,DM1 request mode byte (broadcast vs dest-specific)
0x003faa66,tsc1_override_mode_bits_prev,byte,cached TSC1 override mode bits (SPN 695)
0x003fabca,j1939_dm1_fault_data_channel_byte,byte,DM1 fault data region channel/control byte
0x003fabcb,j1939_dm1_broadcast_pending_flag,byte,DM1 broadcast pending one-shot flag
0x003fac3c,j1939_dm4_tx_record_size_byte,byte,DM4 (PGN 65229) TX buffer per-record byte count
0x003fe7f8,fault_freeze_frame_data_buf,byte,8x48B freeze-frame buffer base (parallel to fault_entry_t)
0x003fadfe,j1939_et1_coolant_temp_byte,byte,ET1 (PGN 65262) coolant temp byte (SPN 110)
0x003fadff,j1939_et1_fuel_temp_byte,byte,ET1 fuel temp byte (SPN 174)
0x003fae09,j1939_pgn61440_engine_load_byte,byte,EEC2 engine percent load byte
0x003fae80,j1939_pgn65242_field_count_byte,byte,SOFT (PGN 65242) software-ID field count (SPN 965)
0x003faf1c,j1939_pgn65279_safety_status_byte,byte,PGN 65279 proprietary safety status byte
0x003faf38,j1939_tsc1_spn1482_source_addr_prev,byte,snapshot of TSC1 SPN1482 source address
0x003faf3d,governor_mode_transition_state_prev,byte,snapshot of governor_mode_transition_state
0x003fb0da,protection_rpm_limit_table_overload_state,word,interp state for RPM limit table (overload path)
0x003fb0dc,protection_rpm_limit_table_preentry_state,word,interp state for RPM limit table (pre-entry)
0x003fb0e4,protection_rpm_limit_table_derate1_active_state,word,interp state for RPM limit table (derate1 active)
0x003fb0ec,protection_rpm_limit_table_ramp_state,word,interp state for RPM limit table (ramp transition)
0x003fb0f2,protection_rpm_limit_table_derate2_state,word,interp state for RPM limit table (derate2)
0x003fb12c,protection_fuel_demand_threshold_derate4_secondary_interp_state,word,fuel-demand threshold interp (derate4 secondary)
0x003fb12e,protection_fuel_demand_threshold_derate2_interp_state,word,fuel-demand threshold interp (derate2)
0x003fb130,protection_fuel_demand_threshold_derate3_interp_state,word,fuel-demand threshold interp (derate3)
0x003fb132,protection_fuel_demand_threshold_derate4_interp_state,word,fuel-demand threshold interp (derate4)
0x003fb134,protection_fuel_demand_exit_derate3_interp_state,word,fuel-demand exit threshold interp (derate3)
0x003fb136,protection_fuel_demand_exit_derate4_interp_state,word,fuel-demand exit threshold interp (derate4)
