function_address,function_name,param_index,new_name,new_type,comment
# =============================================================================
# J90350.00 Function Parameter Definitions
# Created: 2024-12-18
# Defines parameter names and types for improved decompilation readability
# =============================================================================

# -----------------------------------------------------------------------------
# CAN/J1939 Message Functions
# -----------------------------------------------------------------------------
0x000104e8,sendCanMessage,0,msg_header,j1939_header_t*,Pointer to J1939 message header structure
0x00022e5e,vp44CanMessageDispatcher,0,rx_msg,can_std_rx_desc_t*,Pointer to received CAN message descriptor
0x00022b50,vp44FuelTempHandler,0,rx_msg,can_std_rx_desc_t*,Pointer to VP44 fuel temp CAN message
0x00022956,diagnosticParamRequestHandler,0,rx_msg,can_std_rx_desc_t*,Pointer to diagnostic parameter request message
0x00022d8e,diagnosticStatusRequestHandler,0,rx_msg,can_std_rx_desc_t*,Pointer to diagnostic status request message
0x00022de2,diagnosticErrorHandler,0,rx_msg,can_std_rx_desc_t*,Pointer to diagnostic error message
0x00032b38,diagnosticByteResponseSender,0,response_code,ushort,Diagnostic response code to send
0x0002ef4a,diagnosticByteResponseDispatcher,0,msg_ptr,int,Pointer to diagnostic message structure
0x00032244,diagnosticDM11PGN_65234_Builder,0,dtc_count,ushort,Number of DTCs to include in message

# -----------------------------------------------------------------------------
# Huffman Compression Functions
# -----------------------------------------------------------------------------
0x0002c834,huffmanTreeBuilder,0,tree_buffer,int,Pointer to huffman tree node buffer (3KB)
0x00003792,huffmanDecompress,0,tree_buffer,int,Pointer to huffman tree node buffer
0x00003792,huffmanDecompress,1,start_node,ushort,Starting node index for decompression

# -----------------------------------------------------------------------------
# Table Interpolation Functions
# -----------------------------------------------------------------------------
0x00034f8a,coreTableInterpolation,0,table_descriptor,void*,Pointer to table descriptor structure
0x00034f8a,coreTableInterpolation,1,input_value,ushort,Input value for table interpolation lookup
0x00034f8a,coreTableInterpolation,2,scaling_factor,ushort,Optional scaling factor for interpolation
0x00034de0,lookupTableInterpolation,0,args,table_interp_args_t*,Pointer to table interpolation arguments structure
0x00035088,twoDimensionalTableInterpolation,0,table_args,short*,Pointer to 2D table arguments structure
0x00035064,unsignedMultiplyDivide,0,multiplicand,uint,First value to multiply
0x00035064,unsignedMultiplyDivide,1,multiplier,uint,Second value to multiply
0x00035064,unsignedMultiplyDivide,2,divisor,uint,Value to divide the product by
0x00035076,signedMultiplyDivide64,0,multiplicand,int,First signed value to multiply
0x00035076,signedMultiplyDivide64,1,multiplier,int,Second signed value to multiply
0x00035076,signedMultiplyDivide64,2,divisor,int,Signed value to divide the product by
0x00034e9a,exponentialMovingAverage,0,current_avg,ushort,Current moving average value
0x00034e9a,exponentialMovingAverage,1,new_sample,ushort,New sample to incorporate
0x00034e9a,exponentialMovingAverage,2,smoothing_factor,ushort,Exponential smoothing factor
0x00034f00,unsignedLinearInterpolation,0,x_low,ushort,Lower X-axis breakpoint
0x00034f00,unsignedLinearInterpolation,1,x_high,ushort,Upper X-axis breakpoint
0x00034f00,unsignedLinearInterpolation,2,y_low,ushort,Lower Y-axis value
0x00034f00,unsignedLinearInterpolation,3,y_high,ushort,Upper Y-axis value
0x00034f00,unsignedLinearInterpolation,4,x_input,ushort,Input X value to interpolate

# -----------------------------------------------------------------------------
# Division/Clamping Functions
# -----------------------------------------------------------------------------
0x0001645e,safeDivideWithClamp,0,dividend,dword,Dividend value for division
0x0001645e,safeDivideWithClamp,1,divisor,division_operand_t,Divisor with value and limit fields
0x0001651e,clampedDivisionCalculator,0,dividend,dword,Dividend value for division
0x0001651e,clampedDivisionCalculator,1,divisor,division_operand_t,Divisor with value and limit fields
0x0001651e,clampedDivisionCalculator,2,max_result,division_operand_t,Maximum result clamp value

# -----------------------------------------------------------------------------
# Circular Buffer Functions
# -----------------------------------------------------------------------------
0x0001c016,circularBufferInit,0,buffer_ctrl,uint*,Pointer to circular buffer control structure
0x0001c016,circularBufferInit,1,base_address,uint,Base memory address for buffer data
0x0001c016,circularBufferInit,2,buffer_size,uint,Size of buffer in bytes (high word)
0x0001bfa2,circularBufferPush,0,buffer_ctrl,uint*,Pointer to circular buffer control structure
0x0001bfa2,circularBufferPush,1,data_byte,byte,Byte value to push onto buffer
0x0001bfde,circularBufferPop,0,buffer_ctrl,uint*,Pointer to circular buffer control structure
0x0001bfde,circularBufferPop,1,data_out,byte*,Pointer to store popped byte value
0x00016c3c,parameterCircularBufferWrite,0,dest_address,int,Destination EEPROM/RAM address
0x00016c3c,parameterCircularBufferWrite,1,source_ptr,byte*,Pointer to source data
0x00016c3c,parameterCircularBufferWrite,2,byte_count,ushort,Number of bytes to write

# -----------------------------------------------------------------------------
# Flash Programming Functions
# -----------------------------------------------------------------------------
0x0001c484,flashEraseRamExecutor,0,start_address,uint,Flash start address to erase
0x0001c484,flashEraseRamExecutor,1,end_address,uint,Flash end address to erase
0x0001c5e8,flashProgramFromRam,0,dest_address,int,Flash destination address
0x0001c5e8,flashProgramFromRam,1,source_ptr,uint,Source data pointer
0x0001c5e8,flashProgramFromRam,2,byte_count,uint,Number of bytes to program

# -----------------------------------------------------------------------------
# Diagnostic Code Functions
# -----------------------------------------------------------------------------
0x000144bc,diagnosticCodeDebounceHandler,0,code_index,byte,Diagnostic trouble code table index
0x00014720,diagnosticCodeRegistrar,0,code_index,byte,Diagnostic code to register in active list
0x00010e16,diagnosticMemoryAddressResolver,0,param_id,ushort,Parameter ID to resolve address for
0x0000b6e8,diagnosticMessageQueueWrite,0,response_type,byte,Type of diagnostic response (0/1)
0x0001ec3c,diagnosticMemoryWriteHandler,0,service_id,byte,Diagnostic service identifier
0x0001edae,diagnosticMemoryReadHandler,0,service_id,byte,Diagnostic service identifier
