# ROM-to-RAM Mapping
# copyCalibrationToRam() copies ROM 0x3C30-0x7F60 (17KB) to RAM 0x3F9800-0x3FDB30 at boot.
# Formula: ROM_addr = 0x3C30 + (RAM_addr - 0x3F9800)
# These ~50 functions execute from RAM for MPC555 performance (RAM faster than flash).
# mainLoopIteration calls two of these RAM functions directly via bl:
#   bl 0x3FAE3C -> dispatchCanMessageHandlers (ROM 0x526C) - CAN receive dispatcher
#   bl 0x3FC094 -> processJ1939QueueStatus   (ROM 0x64C4) - J1939 TP queue manager
#
# Cross-Firmware Scheduler Mapping (CM848D ↔ CM550)
# Both use identical 40-phase cooperative scheduler. Task groups map by position:
#   CM848D phase_common_processing     ↔ CM550 ioControlAndCanPinSwitchingWrapper
#   CM848D phase_group_a_processing    ↔ CM550 evenPhaseSchedulerTaskSet
#   CM848D phase_group_b_processing    ↔ CM550 oddPhaseSchedulerTaskSet
#   CM848D periodicTaskGroup0_fuelFinal ↔ CM550 fuel_delivery_controller + fuel_limit_arbitrator
#   CM848D periodicTaskGroup1_sensorProcessing ↔ CM550 engine_speed_governor
#   CM848D periodicTaskGroup7_timing   ↔ CM550 fuelTimingCoordinator (direct)
#   CM848D periodicTaskGroup10_monitoring ↔ CM550 slowCycle10Coordinator (direct)
#   CM848D periodicTaskGroup11_communication ↔ CM550 diagnosticCommunicationSlowCycle10Coordinator
# See docs/cross-firmware-analysis.md for complete mapping table.
#
address,name
0x00000100,reset_vector
0x00000184,keyOnStateMachine
0x00000340,copyCalibrationToRam
0x0000037c,registerStandardDiagServices
0x000003ec,eepromProgressNotify
0x00000428,loadEepromCalibration
0x000008d4,diagServiceDownloadCalibration
0x000008fc,initEepromTransfer
0x000009e4,diagServiceInitEepromTransfer
0x00000a40,computeCrcCcitt
0x00000b44,updateCapabilityFlags
0x00000be8,stubFunction1
0x00000bec,eepromWriteWords
0x00000d88,eepromReadWords
0x00000e90,mainLoopIteration
0x00000ec0,loadCalibrationFromEeprom
0x00000f74,loadVersionConfigFromEeprom
0x00001008,bootStateMachine
0x000010ac,generateCrcTable
0x00001110,flashPollUntilReady
0x000011b4,flashEraseChip
0x000012a8,flashWriteWord
0x00001338,flashWriteBlock
0x00001454,initHardwareConfig
0x000016d0,initSystemRegisters
0x0000183c,stubFunction2
0x00001840,diagService25_executeFunction
0x0000191c,initService25Handler
0x00001948,registerPgnResponseHandler
0x0000198c,initDataBasedDiagServices
0x000019e8,diagService65_handler
0x00001ad0,registerService65Handler
0x00001afc,registerMemoryReadServices
0x00001b48,diagMemoryReadHandler
0x00001cf8,diagMemoryReadWithBaseOffset
0x00001d5c,diagService67_memoryReadOffset
0x00001dc4,diagService74_memoryRead
0x00001e30,diagService76_memoryReadExt
0x00001e94,initDiagResponseHandlers
0x00001ef8,diagSendResponseCode
0x00001fa4,processDiagnosticAndEepromRequests
0x00002148,initDiagnosticCallback
0x00002170,processDiagnosticTimeout
0x000021c0,setDataTransferMode
0x000021d0,initDiagnosticSession
0x00002310,eepromValidationCycle
0x00002384,busWaitCycles
0x000023b8,checkBusHardwareStatus
0x000024a0,waitForBusStable
0x00002504,systemInitialization
0x00002694,hardwareInitialization
0x00002970,initCanController
0x00002a40,initDiagnosticSubsystem
0x00002b7c,clearRamRegions
0x00002bc8,softReset
0x00002c94,registerDiagnosticService
0x00002cd8,registerPgnEf00Handler
0x00002d08,lookupEepromParameterAddress
0x00002de4,handleEepromDiagnosticCallback
0x00002e58,registerSchedulerTask
0x00002ee8,initSchedulerCallback
0x00002f18,initSchedulerTaskTable
0x00002f74,spiReceiveHandler
0x00003008,spiTransmitCompleteHandler
0x000030ec,dispatchSpiHandlerByState
0x000031a0,resetEepromStatusPointer
0x000031c0,enableSystemInterrupts
0x00003218,enableSpiTransmitInterrupt
0x0000323c,initDiagnosticResponseCallback
0x0000326c,processDiagnosticResponseCallback
0x000032dc,generateSerialChecksumResponse
0x000033a4,initDiagnosticRequestHandler
0x000033e0,decrementDiagnosticTimeout
0x00003408,processDiagnosticRequest
0x000035e4,initDiagnosticSessionHandler
0x00003614,processDiagnosticSessionFlags
0x0000368c,sendDiagnosticResponse
0x000036f8,resetEepromCalibrationState
0x00003710,beginEepromCalibrationWrite
0x000037e0,updateEepromMagicAndReload
0x000038f4,diagRequestTypeDispatcher
0x00003948,diagServiceTransferBlock
0x00003a5c,computeSerialChecksum
0x00003ad8,restoreDiagnosticHandler
0x00003b38,enableDiagnosticTimer
0x00003b48,processTimerInterrupt
0x00003b58,saveSchedulerCallbackPointer
0x00003b6c,initQspiRegisters
0x00003d54,getDiagnosticServicePriority
0x00003dac,canTransmitQueuePush
0x00003f20,transmitCanMessage
0x00003f70,lookupTableEntryByKey
0x00003fcc,dataTransferBufferWrite
0x00004194,prepareDataTransferBuffer
0x000042b0,initAdcChannelConfig
0x00004320,configureAdcConversionRegs
0x000043a4,configureAdcChannelRange
0x00004500,initDataTransferCopyBuffer
0x00004570,advanceAdcChannelQueue
0x00004654,checkDataTransferBufferStatus
