address,name,type,comment
0x00000000,calibration_download_size_n_a,undefined,
0x00000008,exception_vector_bus_error,undefined4,
0x00000010,ROM_DATE,undefined,
0x00000014,bootloader_code_end_address,undefined4,
0x00004000,eeprom_primary_base_address,undefined4,
0x00004400,eeprom_insite_data_base_address,undefined4,
0x00004404,insite_version_string_part_1,undefined1,
0x00004409,insite_version_string_part_2,undefined1,
0x0000441a,insite_version_string_part_3,undefined1,
0x00004445,insite_ecu_command_selector_low,undefined1,
0x00004446,insite_ecu_command_selector_high,undefined1,
0x0000444b,insite_ecu_id_part_1,undefined1,
0x0000444f,insite_ecu_id_part_2,undefined1,
0x0000445f,insite_ecu_id_part_3,undefined1,
0x00004650,hour_meter_conversion_base,undefined,
0x00004caa,fuel_timing_mode_blend_table,undefined,
0x00004f6c,cold_ambient_air_temperature_threshold_100_255,undefined,
0x00004f6e,overrides_authorized_above_this_limit_100_255,undefined,
0x00004f70,overrides_authorized_below_this_limit_100_255,undefined,
0x00005e3e,can_memory_pointer_table_entry_1,undefined,
0x00005e42,calibration_checksum_end_marker,undefined2,
0x00006000,eeprom_secondary_base_address,undefined4,
0x00006400,firmware_vector_table_base,undefined4,
0x00007e3e,can_memory_pointer_table_entry_2,undefined2,
0x0000800e,BLOKDATA,undefined,
0x00008ca0,hour_meter_conversion_table,undefined,
0x00009c40,governor_pid_fuel_lookup_table,undefined,
0x0000ce84,switchD,,
0x0000ce88,switchdataD_0000ce88,ushort,
0x0000ce92,caseD_54,,
0x0000cea0,caseD_55,,
0x0000cf12,caseD_56,,
0x0000cf1e,caseD_57,,
0x0000cf2a,caseD_58,,
0x0000d106,switchD,,
0x0000d10a,switchdataD_0000d10a,ushort,
0x0000d10c,USHORT_0000d10c,ushort,
0x0000d110,USHORT_0000d110,ushort,
0x0000d112,caseD_0,,
0x0000d116,caseD_1,,
0x0000d11c,caseD_2,,
0x0000d122,caseD_3,,
0x0000d136,switchD,,
0x0000d13a,switchdataD_0000d13a,ushort,
0x0000d140,USHORT_0000d140,ushort,
0x0000d142,caseD_0,,
0x0000d146,caseD_1,,
0x0000d146,caseD_2,,
0x0000d14c,caseD_3,,
0x0000d150,default,,
0x0000d150,default,,
0x0000d22a,switchD,,
0x0000d22e,switchdataD_0000d22e,ushort,
0x0000d23a,caseD_b9,,
0x0000d244,caseD_bb,,
0x0000d254,caseD_bc,,
0x0000d264,caseD_bd,,
0x0000d274,caseD_be,,
0x0000d4a6,switchD,,
0x0000d4aa,switchdataD_0000d4aa,ushort,
0x0000d4b8,caseD_f4,,
0x0000d4d6,caseD_f5,,
0x0000d4f0,caseD_f7,,
0x0000d504,caseD_f8,,
0x0000d518,caseD_fa,,
0x0000d572,caseD_f9,,
0x0000d572,caseD_ba,,
0x0000d572,caseD_f6,,
0x0000d572,caseD_f9,,
0x0000da58,switchD,,
0x0000da5c,switchdataD_0000da5c,ushort,
0x0000da62,USHORT_0000da62,ushort,
0x0000da68,USHORT_0000da68,ushort,
0x0000da6a,USHORT_0000da6a,ushort,
0x0000da6c,caseD_0,,
0x0000da6c,caseD_1,,
0x0000da84,caseD_2,,
0x0000da84,caseD_3,,
0x0000dab2,caseD_4,,
0x0000dace,caseD_5,,
0x0000daea,caseD_6,,
0x0000db2e,caseD_7,,
0x0000db70,default,,
0x0000ec1a,software_build_date_time_0_4294967296,,
0x0000fab0,crc16_lookup_table,pointer,
0x00010596,switchD,,
0x0001059a,switchdataD_0001059a,ushort,
0x000105a2,caseD_0,,
0x000106ac,caseD_1,,
0x00010772,caseD_2,,
0x00010778,caseD_3,,
0x00012506,switchD,,
0x0001250a,switchdataD_0001250a,ushort,
0x00012512,caseD_6,,
0x0001255e,caseD_3,,
0x000125aa,switchD,,
0x000125ae,switchdataD_000125ae,ushort,
0x000125d8,caseD_40,,
0x000125e6,caseD_41,,
0x000125f4,caseD_42,,
0x00012602,caseD_43,,
0x0001260c,caseD_50,,
0x00012610,caseD_51,,
0x0001261a,caseD_52,,
0x00012628,caseD_53,,
0x0001262c,caseD_54,,
0x0001263a,caseD_44,,
0x0001263a,caseD_45,,
0x0001263a,caseD_46,,
0x0001263a,caseD_47,,
0x0001263a,caseD_48,,
0x0001263a,caseD_49,,
0x0001263a,caseD_4a,,
0x0001263a,caseD_4b,,
0x0001263a,caseD_4c,,
0x0001263a,caseD_4d,,
0x0001263a,caseD_4e,,
0x0001263a,caseD_4f,,
0x00012666,caseD_4,,
0x00012686,switchD,,
0x0001268a,switchdataD_0001268a,ushort,
0x000126b0,caseD_64,,
0x000126ba,caseD_65,,
0x000126d0,caseD_66,,
0x000126e4,caseD_69,,
0x00012700,caseD_70,,
0x00012700,caseD_72,,
0x00012700,caseD_76,,
0x00012710,caseD_71,,
0x00012726,caseD_73,,
0x0001273c,caseD_74,,
0x00012746,caseD_75,,
0x00012750,caseD_67,,
0x00012750,caseD_68,,
0x00012750,caseD_6a,,
0x00012750,caseD_6b,,
0x00012750,caseD_6c,,
0x00012750,caseD_6d,,
0x00012750,caseD_6e,,
0x00012750,caseD_6f,,
0x00012760,caseD_5,,
0x000128ec,switchD,,
0x000128f0,switchdataD_000128f0,ushort,
0x00012900,caseD_4a,,
0x00012908,caseD_4f,,
0x00012910,caseD_4c,,
0x00012918,caseD_51,,
0x0001291e,caseD_50,,
0x0001291e,caseD_4b,,
0x0001291e,caseD_4d,,
0x0001291e,caseD_4e,,
0x0001291e,caseD_50,,
0x00012e40,switchD,,
0x00012e44,switchdataD_00012e44,ushort,
0x00012e4e,caseD_15,,
0x00012e4e,caseD_17,,
0x00012e4e,caseD_18,,
0x00012e4e,caseD_19,,
0x00012e86,caseD_16,,
0x00012fbc,switchD,,
0x00012fc0,switchdataD_00012fc0,ushort,
0x00012fca,caseD_15,,
0x00012fca,caseD_17,,
0x00012fca,caseD_18,,
0x00012fca,caseD_19,,
0x00013004,caseD_16,,
0x000138a2,switchD,,
0x000138a6,switchdataD_000138a6,ushort,
0x000138ae,caseD_1,,
0x000138c2,caseD_0,,
0x000138d6,caseD_2,,
0x000138ea,caseD_3,,
0x000138fc,default,,
0x000141a2,switchD,,
0x000141a6,switchdataD_000141a6,ushort,
0x000141b6,caseD_1,,
0x000141f2,caseD_2,,
0x0001424e,caseD_6,,
0x00014294,caseD_7,,
0x000142da,caseD_3,,
0x00014356,caseD_4,,
0x00014388,caseD_5,,
0x0001443c,caseD_8,,
0x00014484,default,,
0x00014568,switchD,,
0x0001456c,switchdataD_0001456c,ushort,
0x00014576,caseD_0,,
0x0001457e,caseD_1,,
0x00014586,caseD_2,,
0x0001458e,caseD_3,,
