0x008001a8,pulse_period_current_value,medium,Set to primary or backup pulse period in retarderModeThresholdCalculator; compared against threshold for sync detection and used in buffer pattern checks
0x00800320,rpm_speed_bin_index,high,Used in FUN_000127c2 as index into RPM-binned arrays; set by iterating through RPM threshold table (DAT_008072f6) comparing against engine RPM (DAT_0080ccf4); used to index into arrays at system_timer_array and protection tables
0x00800353,trending_sample_rate_divisor,high,"Set by switch/case to values 5/10/20/40/80/160 in FUN_00013d42; used as countdown threshold in FUN_000138b6 to trigger scheduler_phase_execution_time"
0x00800504,data_record_buffer_write_ptr,high,Write pointer into 400-byte buffer at fuel_demand_blend_input; initialized to buffer start and incremented as data is copied with wraparound
0x00800534,fault_status_word_scan_index,high,"Iterates 0-31 scanning status/error words in faultFlagScannerAndProcessor; indexes into status_32_word arrays"
0x0080054c,discrete_input_override_mask_ptr,high,"Pointer to DAT_00803cae (switch override config); set in initVP44StatusMonitoring, indexed as array [0]-[9] for switch override masks in sampleDiscreteInputPins and ioDriverStrobeHandler"
0x00800550,discrete_input_sample_index,high,"Cyclic counter 0-3 used as array index for discrete input sampling buffers at DAT_00800552/00800562/00800572 in sampleDiscreteInputPins"
0x00800552,discrete_input_sample_buffer_0,high,"Base of 4-entry debounce buffer for discrete input port 0; written with XOR'd hardware reads at sample_index offset, OR'd/AND'd across 4 samples for majority vote"
0x00800622,protection_config_table_ptr,high,Iterator pointer stepping through protection configuration entries from DAT_00807032 to load_breakpoint_table in 18-word increments; fields accessed as ushort array
0x00800626,protection_state_data_ptr,high,Pointer to 46-byte protection state records starting at DAT_0080d0dc; stores fault timers counters and status flags per protection entry
0x00800630,engine_protection_fueling_severity_filtered,high,"Rate-limited filtered severity index (0-256) from engine protection fueling; compared against time_to_reach_full_derate; drives fuel derate and _indicator_from_engine_protection_that_fuel_derate"
0x00800658,sync_miss_counter,high,Counter incremented each call when retarderModeThresholdCalculator returns 0 (no sync); reset to 0 on successful sync; compared with period_meas_per_cam for sync detection
0x0080068c,scheduler_phase_index,high,Executive scheduler phase counter cycling 0-39 (0x27); each phase dispatches specific task combination of even/odd scheduler and slow-cycle coordinators
0x00800690,scheduler_timing_record_ptr,high,Pointer to per-phase timing measurement record (SSECTMDX + phase*16); tracks execution time sum max min count and overflow per scheduler phase
0x00800698,fuel_limit_after_derate_selection,high,Selected fuel limit from derate algorithm comparison; minimum of diagnostic derate and air-handling derate values clamped between calibration min and max
0x00800716,hsg_integrator_fuel_output,high,Used as HSG PID integrator accumulator - clamped by hsg_maximum/minimum_integrator_fuel_output and reset to hsg_integrator_reset_value; feeds into total HSG fueling calculation
0x0080129a,j1939_multiframe_tx_active,high,Transport protocol transmit session active flag; set to 1 when multi-frame send initiated cleared to 0 on completion abort or error in multiple handlers
0x008012c4,vp44_multiframe_rx_active,high,VP44 diagnostic receive session active flag; set to 1 when receive starts cleared on completion timeout or error across vp44 response handlers
